#[0]-k [1]-P_k(z=0) [2]-P_k(z=3) [3]-P_k(z=20)
3.668201E-03 4.588665E+04 4.668497E+03 1.724078E+02 
3.768529E-03 4.672468E+04 4.753788E+03 1.755726E+02 
3.871601E-03 4.756682E+04 4.839499E+03 1.787528E+02 
3.977493E-03 4.841243E+04 4.925566E+03 1.819461E+02 
4.086280E-03 4.926086E+04 5.011919E+03 1.851498E+02 
4.198043E-03 5.011141E+04 5.098489E+03 1.883613E+02 
4.312863E-03 5.096336E+04 5.185200E+03 1.915779E+02 
4.430823E-03 5.181596E+04 5.271975E+03 1.947967E+02 
4.552009E-03 5.266844E+04 5.358735E+03 1.980146E+02 
4.676510E-03 5.351995E+04 5.445392E+03 2.012284E+02 
4.804416E-03 5.436955E+04 5.531851E+03 2.044347E+02 
4.935821E-03 5.521626E+04 5.618012E+03 2.076298E+02 
5.070819E-03 5.605903E+04 5.703771E+03 2.108096E+02 
5.209510E-03 5.689680E+04 5.789021E+03 2.139704E+02 
5.351994E-03 5.772849E+04 5.873650E+03 2.171080E+02 
5.498375E-03 5.855296E+04 5.957546E+03 2.202182E+02 
5.648760E-03 5.936905E+04 6.040590E+03 2.232967E+02 
5.803258E-03 6.017558E+04 6.122663E+03 2.263390E+02 
5.961982E-03 6.097123E+04 6.203632E+03 2.293402E+02 
6.125046E-03 6.175457E+04 6.283351E+03 2.322951E+02 
6.292571E-03 6.252415E+04 6.361671E+03 2.351980E+02 
6.464678E-03 6.327849E+04 6.438442E+03 2.380434E+02 
6.641492E-03 6.401605E+04 6.513507E+03 2.408256E+02 
6.823141E-03 6.473532E+04 6.586711E+03 2.435389E+02 
7.009760E-03 6.543473E+04 6.657894E+03 2.461773E+02 
7.201482E-03 6.611271E+04 6.726896E+03 2.487350E+02 
7.398448E-03 6.676761E+04 6.793549E+03 2.512058E+02 
7.600801E-03 6.739762E+04 6.857668E+03 2.535827E+02 
7.808689E-03 6.800083E+04 6.919058E+03 2.558587E+02 
8.022263E-03 6.857536E+04 6.977527E+03 2.580266E+02 
8.241678E-03 6.911930E+04 7.032882E+03 2.600791E+02 
8.467094E-03 6.963076E+04 7.084928E+03 2.620092E+02 
8.698675E-03 7.010785E+04 7.133475E+03 2.638096E+02 
8.936591E-03 7.054873E+04 7.178332E+03 2.654734E+02 
9.181013E-03 7.095155E+04 7.219312E+03 2.669935E+02 
9.432121E-03 7.131429E+04 7.256211E+03 2.683625E+02 
9.690097E-03 7.163481E+04 7.288809E+03 2.695722E+02 
9.955129E-03 7.191096E+04 7.316890E+03 2.706147E+02 
1.022741E-02 7.214067E+04 7.340245E+03 2.714821E+02 
1.050714E-02 7.232195E+04 7.358670E+03 2.721671E+02 
1.079451E-02 7.245285E+04 7.371969E+03 2.726623E+02 
1.108975E-02 7.253156E+04 7.379958E+03 2.729610E+02 
1.139307E-02 7.255634E+04 7.382461E+03 2.730567E+02 
1.170468E-02 7.252554E+04 7.379312E+03 2.729432E+02 
1.202481E-02 7.243750E+04 7.370340E+03 2.726143E+02 
1.235370E-02 7.229064E+04 7.355386E+03 2.720640E+02 
1.269158E-02 7.208356E+04 7.334305E+03 2.712871E+02 
1.303870E-02 7.181500E+04 7.306971E+03 2.702787E+02 
1.339532E-02 7.148390E+04 7.273273E+03 2.690348E+02 
1.376169E-02 7.108938E+04 7.233124E+03 2.675523E+02 
1.413809E-02 7.063078E+04 7.186455E+03 2.658284E+02 
1.452477E-02 7.010765E+04 7.133219E+03 2.638616E+02 
1.492204E-02 6.952003E+04 7.073422E+03 2.616520E+02 
1.533017E-02 6.886851E+04 7.007124E+03 2.592018E+02 
1.574946E-02 6.815393E+04 6.934409E+03 2.565141E+02 
1.618022E-02 6.737731E+04 6.855383E+03 2.535929E+02 
1.662276E-02 6.653992E+04 6.770174E+03 2.504427E+02 
1.707740E-02 6.564322E+04 6.678931E+03 2.470693E+02 
1.754449E-02 6.468889E+04 6.581825E+03 2.434787E+02 
1.802434E-02 6.367881E+04 6.479047E+03 2.396782E+02 
1.851732E-02 6.261541E+04 6.370846E+03 2.356769E+02 
1.902378E-02 6.150327E+04 6.257687E+03 2.314920E+02 
1.954410E-02 6.034764E+04 6.140103E+03 2.271433E+02 
2.007864E-02 5.915371E+04 6.018623E+03 2.226503E+02 
2.062781E-02 5.792655E+04 5.893763E+03 2.180322E+02 
2.119200E-02 5.667113E+04 5.766027E+03 2.133076E+02 
2.177161E-02 5.539224E+04 5.635905E+03 2.084946E+02 
2.236708E-02 5.409453E+04 5.503868E+03 2.036107E+02 
2.297884E-02 5.278250E+04 5.370375E+03 1.986728E+02 
2.360733E-02 5.146245E+04 5.236065E+03 1.937047E+02 
2.425301E-02 5.014295E+04 5.101813E+03 1.887387E+02 
2.491635E-02 4.883206E+04 4.968436E+03 1.838050E+02 
2.559783E-02 4.753711E+04 4.836682E+03 1.789312E+02 
2.629795E-02 4.626472E+04 4.707222E+03 1.741423E+02 
2.701722E-02 4.502079E+04 4.580660E+03 1.694605E+02 
2.775616E-02 4.381062E+04 4.457531E+03 1.649057E+02 
2.851531E-02 4.263884E+04 4.338310E+03 1.604954E+02 
2.929523E-02 4.150971E+04 4.223428E+03 1.562456E+02 
3.009647E-02 4.042718E+04 4.113290E+03 1.521713E+02 
3.091964E-02 3.939470E+04 4.008247E+03 1.482854E+02 
3.176531E-02 3.841528E+04 3.908607E+03 1.445993E+02 
3.263412E-02 3.749155E+04 3.814637E+03 1.411230E+02 
3.352669E-02 3.662542E+04 3.726533E+03 1.378636E+02 
3.444367E-02 3.581534E+04 3.644134E+03 1.348153E+02 
3.538573E-02 3.505824E+04 3.567118E+03 1.319661E+02 
3.635355E-02 3.435127E+04 3.495189E+03 1.293051E+02 
3.734785E-02 3.369039E+04 3.427935E+03 1.268170E+02 
3.836934E-02 3.306835E+04 3.364624E+03 1.244747E+02 
3.941878E-02 3.247782E+04 3.304519E+03 1.222511E+02 
4.049691E-02 3.191004E+04 3.246736E+03 1.201134E+02 
4.160453E-02 3.135449E+04 3.190213E+03 1.180223E+02 
4.274245E-02 3.080055E+04 3.133871E+03 1.159379E+02 
4.391149E-02 3.023659E+04 3.076514E+03 1.138160E+02 
4.511250E-02 2.965122E+04 3.016977E+03 1.116134E+02 
4.634636E-02 2.903310E+04 2.954121E+03 1.092880E+02 
4.761397E-02 2.837245E+04 2.886920E+03 1.068020E+02 
4.891625E-02 2.766162E+04 2.814513E+03 1.041233E+02 
5.025414E-02 2.689364E+04 2.736302E+03 1.012299E+02 
5.162863E-02 2.606411E+04 2.651981E+03 9.811053E+01 
5.304072E-02 2.517572E+04 2.561620E+03 9.476772E+01 
5.449142E-02 2.423327E+04 2.465686E+03 9.121872E+01 
5.598180E-02 2.324386E+04 2.365042E+03 8.749549E+01 
5.751295E-02 2.222096E+04 2.260965E+03 8.364525E+01 
5.908597E-02 2.118048E+04 2.155062E+03 7.972743E+01 
6.070202E-02 2.013999E+04 2.049181E+03 7.581043E+01 
6.236226E-02 1.911905E+04 1.945321E+03 7.196819E+01 
6.406792E-02 1.813807E+04 1.845495E+03 6.827517E+01 
6.582023E-02 1.721510E+04 1.751574E+03 6.480059E+01 
6.762046E-02 1.636543E+04 1.665161E+03 6.160372E+01 
6.946993E-02 1.560189E+04 1.587469E+03 5.872950E+01 
7.136999E-02 1.493134E+04 1.519218E+03 5.620450E+01 
7.332201E-02 1.435474E+04 1.460552E+03 5.403409E+01 
7.532743E-02 1.386781E+04 1.411019E+03 5.220153E+01 
7.738769E-02 1.346062E+04 1.369564E+03 5.066780E+01 
7.950430E-02 1.311623E+04 1.334542E+03 4.937209E+01 
8.167880E-02 1.281391E+04 1.303801E+03 4.823475E+01 
8.391278E-02 1.252951E+04 1.274852E+03 4.716367E+01 
8.620786E-02 1.223719E+04 1.245087E+03 4.606245E+01 
8.856571E-02 1.191264E+04 1.212074E+03 4.484112E+01 
9.098805E-02 1.153713E+04 1.173908E+03 4.342916E+01 
9.347665E-02 1.110105E+04 1.129532E+03 4.178750E+01 
9.603330E-02 1.060430E+04 1.078962E+03 3.991665E+01 
9.865989E-02 1.005754E+04 1.023330E+03 3.785858E+01 
1.013583E-01 9.481657E+03 9.647422E+02 3.569117E+01 
1.041305E-01 8.903983E+03 9.059442E+02 3.351598E+01 
1.069786E-01 8.352804E+03 8.498624E+02 3.144127E+01 
1.099045E-01 7.853934E+03 7.991151E+02 2.956390E+01 
1.129105E-01 7.425371E+03 7.555122E+02 2.795080E+01 
1.159987E-01 7.074518E+03 7.198117E+02 2.662999E+01 
1.191714E-01 6.797043E+03 6.915828E+02 2.558558E+01 
1.224308E-01 6.576977E+03 6.691896E+02 2.475709E+01 
1.257794E-01 6.392340E+03 6.504072E+02 2.406218E+01 
1.292195E-01 6.214266E+03 6.322899E+02 2.339189E+01 
1.327538E-01 6.014415E+03 6.119470E+02 2.263928E+01 
1.363847E-01 5.774085E+03 5.874910E+02 2.173453E+01 
1.401149E-01 5.489735E+03 5.585729E+02 2.066472E+01 
1.439472E-01 5.174353E+03 5.264840E+02 1.947759E+01 
1.478842E-01 4.850696E+03 4.935451E+02 1.825901E+01 
1.519290E-01 4.543706E+03 4.623052E+02 1.710330E+01 
1.560844E-01 4.274056E+03 4.348676E+02 1.608824E+01 
1.603534E-01 4.052953E+03 4.123712E+02 1.525596E+01 
1.647392E-01 3.878459E+03 3.946224E+02 1.459931E+01 
1.692449E-01 3.735493E+03 3.800793E+02 1.406127E+01 
1.738739E-01 3.601908E+03 3.664872E+02 1.355840E+01 
1.786295E-01 3.457492E+03 3.517930E+02 1.301476E+01 
1.835151E-01 3.291350E+03 3.348882E+02 1.238937E+01 
1.885344E-01 3.105617E+03 3.159878E+02 1.169016E+01 
1.936910E-01 2.914860E+03 2.965801E+02 1.097218E+01 
1.989886E-01 2.738244E+03 2.786069E+02 1.030725E+01 
2.044311E-01 2.587603E+03 2.632794E+02 9.740198E+00 
2.100224E-01 2.463478E+03 2.506536E+02 9.273090E+00 
2.157667E-01 2.356689E+03 2.397862E+02 8.871035E+00 
2.216681E-01 2.252780E+03 2.292172E+02 8.480032E+00 
2.277309E-01 2.141268E+03 2.178665E+02 8.060102E+00 
2.339595E-01 2.021865E+03 2.057163E+02 7.610598E+00 
2.403584E-01 1.902440E+03 1.935702E+02 7.161254E+00 
2.469324E-01 1.792820E+03 1.824160E+02 6.748598E+00 
2.536862E-01 1.698240E+03 1.727919E+02 6.392549E+00 
2.606247E-01 1.614663E+03 1.642892E+02 6.077982E+00 
2.677530E-01 1.534764E+03 1.561576E+02 5.777147E+00 
2.750763E-01 1.453487E+03 1.478853E+02 5.471109E+00 
2.825998E-01 1.371060E+03 1.395022E+02 5.160974E+00 
2.903291E-01 1.292493E+03 1.315088E+02 4.865252E+00 
2.982699E-01 1.221130E+03 1.242471E+02 4.596603E+00 
3.064278E-01 1.156452E+03 1.176665E+02 4.353148E+00 
3.148088E-01 1.095325E+03 1.114472E+02 4.123059E+00 
3.234191E-01 1.034936E+03 1.053026E+02 3.895737E+00 
3.322648E-01 9.760622E+02 9.931222E+01 3.674120E+00 
3.413525E-01 9.207144E+02 9.368063E+01 3.465777E+00 
3.506888E-01 8.699749E+02 8.851810E+01 3.274785E+00 
3.602804E-01 8.220733E+02 8.364431E+01 3.094476E+00 
3.701343E-01 7.758734E+02 7.894358E+01 2.920569E+00 
3.802578E-01 7.315967E+02 7.443848E+01 2.753900E+00 
3.906581E-01 6.899491E+02 7.020091E+01 2.597128E+00 
4.013429E-01 6.510576E+02 6.624378E+01 2.450732E+00 
4.123200E-01 6.140783E+02 6.248121E+01 2.311533E+00 
4.235972E-01 5.788136E+02 5.889311E+01 2.178789E+00 
4.351830E-01 5.455474E+02 5.550842E+01 2.053570E+00 
4.470855E-01 5.141999E+02 5.231886E+01 1.935571E+00 
4.593137E-01 4.845264E+02 4.929928E+01 1.823860E+00 
4.718763E-01 4.564285E+02 4.643984E+01 1.718073E+00 
